;Disposa.de.connexió.a.Internet.a.la.llar.;Connexió.ràpida;Tenen.tarifa.plana.;Missatges.mobil;Quants.televisors.tenen.;TV.de.pagament.;Amb.quina.freqüència.usa.ordinador.;Utilitza.programes.ofimàtics;Informàtica.avançada;Aplicacions.específiques;Per.oci;Amb.quina.freqüència.usa.inet.;Català;Castellà;Anglès;Edat;Sexe;Nivell.d.estudis;Activitat.professional;Nivell.ingressos.mensuals;Estudia.per.Internet.;Fa.servir.correu.electrònic.;Fa.servir.xat.;Fa.teletreball.;Ha.comprat.aliments.;Ha.comprat.per.Internet.;Internet.per.a.l.oci.;Pagament.a.través.d.Internet.;Tràmits.amb.els.serveis.sanitaris.;Tràmits.per.Internet.amb.l.Admó.;Utilitza.serveis.banca.electrònica.;Visita.webs.de.l.Admó.;Visita.webs.sanitaris.
100;TRUE;FALSE;FALSE;Entre 10 i 20;3TVs;TRUE;Diàriament;TRUE;TRUE;TRUE;TRUE;Diàriament;TRUE;TRUE;TRUE;Edat(14,25];Dona;Superiors;Assalariats;210.000 - 420.000;FALSE;TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE
1014;FALSE;FALSE;FALSE;Menys de 5;3TVs;FALSE;Diàriament;TRUE;TRUE;TRUE;TRUE;Amb menys freq.;FALSE;TRUE;FALSE;Edat(14,25];Home;Superiors;Assalariats;NS/NC;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE
102;TRUE;TRUE;TRUE;NO;3TVs;FALSE;Amb menys freqüència;TRUE;FALSE;FALSE;TRUE;Setmanalment;TRUE;TRUE;TRUE;Edat(65,99];Dona;Superiors;Altres inactius;Més de 675.000;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE
1026;FALSE;FALSE;FALSE;Entre 5 i 10;1TV;FALSE;Diàriament;TRUE;FALSE;TRUE;TRUE;Mensualment;TRUE;TRUE;FALSE;Edat(25,35];Dona;Primaris;Aturats;125.000 - 210.000;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE
1055;FALSE;FALSE;FALSE;Menys de 5;2TVs;FALSE;Setmanalment;TRUE;FALSE;TRUE;TRUE;Setmanalment;FALSE;TRUE;FALSE;Edat(25,35];Dona;Secundaris;Assalariats;125.000 - 210.000;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
1064;TRUE;TRUE;TRUE;NO;1TV;FALSE;Amb menys freqüència;FALSE;FALSE;TRUE;FALSE;Amb menys freq.;TRUE;TRUE;FALSE;Edat(45,55];Dona;Superiors;Assalariats;420.000 - 675.000;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE
1087;TRUE;FALSE;TRUE;Entre 5 i 10;2TVs;FALSE;Setmanalment;TRUE;FALSE;FALSE;FALSE;Diàriament;TRUE;TRUE;TRUE;Edat(25,35];Dona;Superiors;Aturats;210.000 - 420.000;TRUE;TRUE;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE
1097;FALSE;FALSE;FALSE;Menys de 5;1TV;FALSE;Diàriament;TRUE;FALSE;FALSE;FALSE;Setmanalment;TRUE;TRUE;FALSE;Edat(45,55];Home;Superiors;Assalariats;210.000 - 420.000;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE
11;TRUE;FALSE;TRUE;Cap (o menys d'1 per;3TVs;TRUE;Diàriament;TRUE;FALSE;FALSE;FALSE;Diàriament;TRUE;TRUE;TRUE;Edat(45,55];Home;Secundaris;Assalariats;NS/NC;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE
1115;TRUE;FALSE;TRUE;Cap (o menys d'1 per;+3TVs;TRUE;Diàriament;TRUE;FALSE;TRUE;TRUE;Setmanalment;FALSE;TRUE;FALSE;Edat(35,45];Dona;Superiors;Assalariats;210.000 - 420.000;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;TRUE
